behaviour,artcode,url
answer quiz 1 A,11111,/quizzes/answer/?quizId=1&answer=A
answer quiz 1 B,11112,/quizzes/answer/?quizId=1&answer=B
answer quiz 1 C,11113,/quizzes/answer/?quizId=1&answer=C
answer quiz 1 D,11114,/quizzes/answer/?quizId=1&answer=D
answer quiz 2 A,11115,/quizzes/answer/?quizId=2&answer=A
answer quiz 2 B,11116,/quizzes/answer/?quizId=2&answer=B
answer quiz 2 C,11122,/quizzes/answer/?quizId=2&answer=C
answer quiz 2 D,11123,/quizzes/answer/?quizId=2&answer=D
answer quiz 3 A,11124,/quizzes/answer/?quizId=3&answer=A
answer quiz 3 B,11125,/quizzes/answer/?quizId=3&answer=B
answer quiz 3 C,11126,/quizzes/answer/?quizId=3&answer=C
answer quiz 3 D,11133,/quizzes/answer/?quizId=3&answer=D
answer quiz 4 A,11134,/quizzes/answer/?quizId=4&answer=A
answer quiz 4 B,11135,/quizzes/answer/?quizId=4&answer=B
answer quiz 4 C,11136,/quizzes/answer/?quizId=4&answer=C
answer quiz 4 D,11144,/quizzes/answer/?quizId=4&answer=D
answer quiz 5 A,11145,/quizzes/answer/?quizId=5&answer=A
answer quiz 5 B,11146,/quizzes/answer/?quizId=5&answer=B
answer quiz 5 C,11155,/quizzes/answer/?quizId=5&answer=C
answer quiz 5 D,11156,/quizzes/answer/?quizId=5&answer=D
answer quiz 6 A,11166,/quizzes/answer/?quizId=6&answer=A
answer quiz 6 B,11222,/quizzes/answer/?quizId=6&answer=B
answer quiz 6 C,11223,/quizzes/answer/?quizId=6&answer=C
answer quiz 6 D,11224,/quizzes/answer/?quizId=6&answer=D
answer quiz 7 A,11225,/quizzes/answer/?quizId=7&answer=A
answer quiz 7 B,11226,/quizzes/answer/?quizId=7&answer=B
answer quiz 7 C,11233,/quizzes/answer/?quizId=7&answer=C
answer quiz 7 D,11234,/quizzes/answer/?quizId=7&answer=D
answer quiz 8 A,11235,/quizzes/answer/?quizId=8&answer=A
answer quiz 8 B,11236,/quizzes/answer/?quizId=8&answer=B
answer quiz 8 C,11244,/quizzes/answer/?quizId=8&answer=C
answer quiz 8 D,11245,/quizzes/answer/?quizId=8&answer=D
answer quiz 9 A,11246,/quizzes/answer/?quizId=9&answer=A
answer quiz 9 B,11255,/quizzes/answer/?quizId=9&answer=B
answer quiz 9 C,11256,/quizzes/answer/?quizId=9&answer=C
answer quiz 9 D,11266,/quizzes/answer/?quizId=9&answer=D
answer quiz 10 A,11333,/quizzes/answer/?quizId=10&answer=A
answer quiz 10 B,11334,/quizzes/answer/?quizId=10&answer=B
answer quiz 10 C,11335,/quizzes/answer/?quizId=10&answer=C
answer quiz 10 D,11336,/quizzes/answer/?quizId=10&answer=D
